WikiPageName,Party,State
Sean_Patrick_Maloney,Democratic,New York
Mark_Meadows_(North_Carolina_politician),Republican,North Carolina
Grace_Meng,Democratic,New York
Luke_Messer,Republican,Indiana
Markwayne_Mullin,Republican,Oklahoma
Patrick_Murphy_(Florida_politician),Democratic,Florida
Beto_O'Rourke,Democratic,Texas
Scott_Perry_(politician),Republican,Pennsylvania
Scott_Peters_(politician),Democratic,California
Robert_Pittenger,Republican,North Carolina
Mark_Pocan,Democratic,Wisconsin
Tom_Rice,Republican,South Carolina
Keith_Rothfus,Republican,Pennsylvania
Raul_Ruiz_(politician),Democratic,California
Kyrsten_Sinema,Democratic,Arizona
Chris_Stewart_(politician),Republican,Utah
Eric_Swalwell,Democratic,California
Mark_Takano,Democratic,California
David_Valadao,Republican,California
Juan_Vargas,Democratic,California
Marc_Veasey,Democratic,Texas
Filemon_Vela_Jr.,Democratic,Texas
Ann_Wagner,Republican,Missouri
Jackie_Walorski,Republican,Indiana
Randy_Weber,Republican,Texas
Brad_Wenstrup,Republican,Ohio
Roger_Williams_(American_politician),Republican,Texas
Ted_Yoho,Republican,Florida
Robin_Kelly,Democratic,Illinois
Jason_Smith_(politician),Republican,Missouri
Katherine_Clark,Democratic,Massachusetts
Bradley_Byrne,Republican,Alabama
David_Jolly,Republican,Florida
Curt_Clawson,Republican,Florida
Alma_Adams,Democratic,North Carolina
Dave_Brat,Republican,Virginia
Donald_Norcross,Democratic,New Jersey
Bob_Dold,Republican,Illinois
Frank_Guinta,Republican,New Hampshire
Ralph_Abraham_(politician),Republican,Louisiana
Pete_Aguilar,Democratic,California
Rick_W._Allen,Republican,Georgia
Brad_Ashford,Democratic,Nebraska
Brian_Babin,Republican,Texas
Don_Beyer,Democratic,Virginia
Mike_Bishop_(politician),Republican,Michigan
Rod_Blum,Republican,Iowa
Mike_Bost,Republican,Illinois
Brendan_Boyle,Democratic,Pennsylvania
Ken_Buck,Republican,Colorado
Buddy_Carter,Republican,Georgia
Barbara_Comstock,Republican,Virginia
Ryan_Costello,Republican,Pennsylvania
Carlos_Curbelo,Republican,Florida
Mark_DeSaulnier,Democratic,California
Debbie_Dingell,Democratic,Michigan
Tom_Emmer,Republican,Minnesota
Ruben_Gallego,Democratic,Arizona
Gwen_Graham,Democratic,Florida
Garret_Graves,Republican,Louisiana
Glenn_Grothman,Republican,Wisconsin
Cresent_Hardy,Republican,Nevada
Jody_Hice,Republican,Georgia
French_Hill_(politician),Republican,Arkansas
Will_Hurd,Republican,Texas
Evan_Jenkins_(politician),Republican,West Virginia
John_Katko,Republican,New York
Steve_Knight_(politician),Republican,California
Brenda_Lawrence,Democratic,Michigan
Ted_Lieu,Democratic,California
Barry_Loudermilk,Republican,Georgia
Mia_Love,Republican,Utah
Tom_MacArthur,Republican,New Jersey
Martha_McSally,Republican,Arizona
John_Moolenaar,Republican,Michigan
Alex_Mooney,Republican,West Virginia
Seth_Moulton,Democratic,Massachusetts
Dan_Newhouse,Republican,Washington
Gary_Palmer_(politician),Republican,Alabama
Bruce_Poliquin,Republican,Maine
John_Ratcliffe_(American_politician),Republican,Texas
Kathleen_Rice,Democratic,New York
David_Rouzer,Republican,North Carolina
Steve_Russell_(politician),Republican,Oklahoma
Elise_Stefanik,Republican,New York
Mark_Takai,Democratic,Hawaii
Norma_Torres,Democratic,California
Dave_Trott_(politician),Republican,Michigan
Mark_Walker_(North_Carolina_politician),Republican,North Carolina
Mimi_Walters,Republican,California
Bonnie_Watson_Coleman,Democratic,New Jersey
Bruce_Westerman,Republican,Arkansas
David_Young_(Iowa_politician),Republican,Iowa
Lee_Zeldin,Republican,New York
Ryan_Zinke,Republican,Montana
Dan_Donovan_(politician),Republican,New York
Trent_Kelly,Republican,Mississippi
Darin_LaHood,Republican,Illinois
Warren_Davidson,Republican,Ohio
Colleen_Hanabusa,Democratic,Hawaii
James_Comer_(politician),Republican,Kentucky
Dwight_Evans_(politician),Democratic,Pennsylvania
