WikiPageName,Party,State,Name,tw_id,tw_name
Brian_Babin,Republican,Texas,Brian Babin,2929491549.0,RepBrianBabin
Don_Beyer,Democratic,Virginia,Don Beyer,2962868158.0,RepDonBeyer
Mike_Bost,Republican,Illinois,Mike Bost,2964877294.0,RepBost
Brendan_Boyle,Democratic,Pennsylvania,Brendan Boyle,231108733.0,RepBrendanBoyle
Ken_Buck,Republican,Colorado,Ken Buck,2862577383.0,RepKenBuck
Buddy_Carter,Republican,Georgia,Buddy Carter,2973870195.0,RepBuddyCarter
Mark_DeSaulnier,Democratic,California,Mark DeSaulnier,2968007206.0,RepDeSaulnier
Debbie_Dingell,Democratic,Michigan,Debbie Dingell,2970279814.0,RepDebDingell
Tom_Emmer,Republican,Minnesota,Tom Emmer,2914515430.0,RepTomEmmer
Ruben_Gallego,Democratic,Arizona,Ruben Gallego,2966570782.0,RepRubenGallego
Garret_Graves,Republican,Louisiana,Garret Graves,2951574214.0,RepGarretGraves
Glenn_Grothman,Republican,Wisconsin,Glenn Grothman,2976606250.0,RepGrothman
Jody_Hice,Republican,Georgia,Jody Hice,2975091705.0,CongressmanHice
French_Hill_(politician),Republican,Arkansas,French Hill,2953974395.0,RepFrenchHill
Will_Hurd,Republican,Texas,Will Hurd,2963445730.0,HurdOnTheHill
John_Katko,Republican,New York,John Katko,2966765501.0,RepJohnKatko
Brenda_Lawrence,Democratic,Michigan,Brenda Lawrence,2863006655.0,RepLawrence
Ted_Lieu,Democratic,California,Ted Lieu,3044993235.0,RepTedLieu
Barry_Loudermilk,Republican,Georgia,Barry Loudermilk,2914163523.0,RepLoudermilk
John_Moolenaar,Republican,Michigan,John Moolenaar,2696643955.0,RepMoolenaar
Alex_Mooney,Republican,West Virginia,Alex Mooney,2964526557.0,RepAlexMooney
Seth_Moulton,Democratic,Massachusetts,Seth Moulton,248495200.0,sethmoulton
Dan_Newhouse,Republican,Washington,Dan Newhouse,2930635215.0,RepNewhouse
Gary_Palmer_(politician),Republican,Alabama,Gary Palmer,2861616083.0,USRepGaryPalmer
John_Ratcliffe_(American_politician),Republican,Texas,John Ratcliffe,2847221717.0,RepRatcliffe
Kathleen_Rice,Democratic,New York,Kathleen Rice,2970462034.0,RepKathleenRice
David_Rouzer,Republican,North Carolina,David Rouzer,834069080.0,RepDavidRouzer
Elise_Stefanik,Republican,New York,Elise Stefanik,2962813893.0,RepStefanik
Norma_Torres,Democratic,California,Norma Torres,236279233.0,NormaJTorres
Mark_Walker_(North_Carolina_politician),Republican,North Carolina,Mark Walker,2966205003.0,RepMarkWalker
Bonnie_Watson_Coleman,Democratic,New Jersey,Bonnie Watson Coleman,2968451607.0,RepBonnie
Bruce_Westerman,Republican,Arkansas,Bruce Westerman,2852998461.0,RepWesterman
Lee_Zeldin,Republican,New York,Lee Zeldin,2750127259.0,RepLeeZeldin
Trent_Kelly,Republican,Mississippi,Trent Kelly,3317799825.0,RepTrentKelly
Darin_LaHood,Republican,Illinois,Darin LaHood,3686482216.0,RepLaHood
Warren_Davidson,Republican,Ohio,Warren Davidson,7.42735530287e+17,WarrenDavidson
James_Comer_(politician),Republican,Kentucky,James Comer,838462994.0,KYComer
Dwight_Evans_(politician),Democratic,Pennsylvania,Dwight Evans,90639372.0,RepDwightEvans
Brad_Schneider,Democratic,Illinois,Brad Schneider,1071840474.0,RepSchneider
Jodey_Arrington,Republican,Texas,Jodey Arrington,8.16284664659e+17,RepArrington
Don_Bacon_(politician),Republican,Nebraska,Don Bacon,8.1897512446e+17,RepDonBacon
Jim_Banks,Republican,Indiana,Jim Banks,8.16131319034e+17,RepJimBanks
Nanette_Barragán,Democratic,California,Nanette Barragán,8.16833925457e+17,RepBarragan
Jack_Bergman,Republican,Michigan,Jack Bergman,8.15241612154e+17,RepJackBergman
Andy_Biggs,Republican,Arizona,Andy Biggs,8.16652616625e+17,RepAndyBiggsAZ
Lisa_Blunt_Rochester,Democratic,Delaware,Lisa Blunt Rochester,8.17050219007e+17,RepLBR
Anthony_G._Brown,Democratic,Maryland,Anthony G. Brown,8.23552974253e+17,RepAnthonyBrown
Ted_Budd,Republican,North Carolina,Ted Budd,8.17138492615e+17,RepTedBudd
Salud_Carbajal,Democratic,California,Salud Carbajal,8.16157667882e+17,RepCarbajal
Liz_Cheney,Republican,Wyoming,Liz Cheney,8.16719802329e+17,RepLizCheney
Lou_Correa,Democratic,California,Lou Correa,8.15985039486e+17,RepLouCorrea
Charlie_Crist,Democratic,Florida,Charlie Crist,8.16030424779e+17,RepCharlieCrist
Val_Demings,Democratic,Florida,Val Demings,7.98973032363e+17,RepValDemings
Neal_Dunn,Republican,Florida,Neal Dunn,8.15952318487e+17,DrNealDunnFL2
Adriano_Espaillat,Democratic,New York,Adriano Espaillat,8.17076257771e+17,RepEspaillat
Drew_Ferguson_(politician),Republican,Georgia,Drew Ferguson,8.06583915012e+17,RepDrewFerguson
Brian_Fitzpatrick_(American_politician),Republican,Pennsylvania,Brian Fitzpatrick,8.16303263587e+17,RepBrianFitz
Matt_Gaetz,Republican,Florida,Matt Gaetz,8.1894863889e+17,RepMattGaetz
Mike_Gallagher_(American_politician),Republican,Wisconsin,Mike Gallagher,8.159666203e+17,RepGallagher
Josh_Gottheimer,Democratic,New Jersey,Josh Gottheimer,8.15310506597e+17,RepJoshG
Clay_Higgins,Republican,Louisiana,Clay Higgins,8.43636970539e+17,RepClayHiggins
Trey_Hollingsworth,Republican,Indiana,Trey Hollingsworth,8.11986281178e+17,RepTrey
